Tamaño Nominal,No. malla,Límite inferior,Límite Superior
"90.0 a 37.5 mm (3 1/2"" a 1 1/2"")","4""",0,15
"90.0 a 37.5 mm (3 1/2"" a 1 1/2"")","3 1/2""",90,100
"90.0 a 37.5 mm (3 1/2"" a 1 1/2"")","3""",--,--
"90.0 a 37.5 mm (3 1/2"" a 1 1/2"")","2 1/2""",25,60
"63.0 a 37.5 mm (2 1/2"" a 1 1/2"")","3""",90,100
"63.0 a 37.5 mm (2 1/2"" a 1 1/2"")","2 1/2""",--,--
"63.0 a 37.5 mm (2 1/2"" a 1 1/2"")","2""",35,70
"63.0 a 37.5 mm (2 1/2"" a 1 1/2"")","1 1/2""",0,15
"63.0 a 37.5 mm (2 1/2"" a 1 1/2"")","3/4""",0,5
"50.0 a 25.0 mm (2"" a 1"")","2 1/2""",90,100
"50.0 a 25.0 mm (2"" a 1"")","2""",--,--
"50.0 a 25.0 mm (2"" a 1"")","1 1/2""",35,70
"50.0 a 25.0 mm (2"" a 1"")","1""",0,15
"50.0 a 25.0 mm (2"" a 1"")","3/4""",0,5
"50.0 a 4.75 mm (2"" a No.4)","2""",95,100
"50.0 a 4.75 mm (2"" a No.4)","1 1/2""",--,--
"50.0 a 4.75 mm (2"" a No.4)","1""",35,70
"50.0 a 4.75 mm (2"" a No.4)","1/2""",10,30
"50.0 a 4.75 mm (2"" a No.4)",No. 4,0,5
"37.5 a 19.0 mm (1 1/2"" a 3/4"")","1 1/2""",90,100
"37.5 a 19.0 mm (1 1/2"" a 3/4"")","1""",20,55
"37.5 a 19.0 mm (1 1/2"" a 3/4"")","3/4""",0,15
"37.5 a 19.0 mm (1 1/2"" a 3/4"")","3/8""",0,5
"37.5 a 4.75 mm (1 1/2"" a No.4)","1 1/2""",95,100
"37.5 a 4.75 mm (1 1/2"" a No.4)","1""",--,--
"37.5 a 4.75 mm (1 1/2"" a No.4)","3/4""",35,70
"37.5 a 4.75 mm (1 1/2"" a No.4)","1/2""",10,30
"37.5 a 4.75 mm (1 1/2"" a No.4)",No. 4,0,5
"25.0 a 12.5 mm (1"" a 1/2"")","1""",90,100
"25.0 a 12.5 mm (1"" a 1/2"")","3/4""",20,55
"25.0 a 12.5 mm (1"" a 1/2"")","1/2""",0,10
"25.0 a 12.5 mm (1"" a 1/2"")","3/8""",0,5
"25.0 a 9.5 mm (1"" a 3/8"")","1""",90,100
"25.0 a 9.5 mm (1"" a 3/8"")","3/4""",40,85
"25.0 a 9.5 mm (1"" a 3/8"")","1/2""",10,40
"25.0 a 9.5 mm (1"" a 3/8"")","3/8""",0,15
"25.0 a 9.5 mm (1"" a 3/8"")",No. 4,0,5
"25.0 a 4.75 mm (1"" a No.4)","1""",95,100
"25.0 a 4.75 mm (1"" a No.4)","3/4""",--,--
"25.0 a 4.75 mm (1"" a No.4)","1/2""",25,60
"25.0 a 4.75 mm (1"" a No.4)",No. 4,0,10
"25.0 a 4.75 mm (1"" a No.4)",No. 8,0,5
"19.0 a 9.5 mm (3/4"" a 3/8"")","3/4""",90,100
"19.0 a 9.5 mm (3/4"" a 3/8"")","1/2""",20,55
"19.0 a 9.5 mm (3/4"" a 3/8"")","3/8""",0,15
"19.0 a 9.5 mm (3/4"" a 3/8"")",No. 4,0,5
"19.0 a 4.75 mm (3/4"" a No.4)","3/4""",90,100
"19.0 a 4.75 mm (3/4"" a No.4)","1/2""",--,--
"19.0 a 4.75 mm (3/4"" a No.4)","3/8""",20,55
"19.0 a 4.75 mm (3/4"" a No.4)",No. 4,0,10
"19.0 a 4.75 mm (3/4"" a No.4)",No. 8,0,5
"12.5 a 4.75 mm (1/2"" a No.4)","1/2""",90,100
"12.5 a 4.75 mm (1/2"" a No.4)","3/8""",40,70
"12.5 a 4.75 mm (1/2"" a No.4)",No. 4,0,15
"12.5 a 4.75 mm (1/2"" a No.4)",No. 8,0,5
"9.5 a 2.36 mm (3/8"" a No.8)","3/8""",85,100
"9.5 a 2.36 mm (3/8"" a No.8)",No. 4,10,30
"9.5 a 2.36 mm (3/8"" a No.8)",No. 8,0,10
"9.5 a 2.36 mm (3/8"" a No.8)",No. 16,0,5
